index, path, x, y, id,Shape,Color, parent, child, type, size
24,9,264.8542263,-158.5393313,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,10,279.7767973,-170.2436415,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,11,291.8027372,-178.4486555,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
24,12,298.541,-182.684,Food to Searing meat seals in moisture.,Shape, Food, Food, Searing meat seals in moisture., link, 
25,0,159.688,-71.587,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,1,173.6611289,-78.1002312,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,2,196.3887695,-90.12044556,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,3,213.8629414,-101.2048064,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,4,228.1292695,-111.8402864,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,5,247.9888594,-128.0171074,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,6,272.1374414,-145.9231677,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,7,294.0286445,-159.6328508,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
25,8,307.479,-167.202,Food to Sushi is raw fish,Shape, Food, Food, Sushi is raw fish, link, 
26,0,159.688,-71.587,Food to Refreezing Food = Bad,Shape, Food, Food, Refreezing Food = Bad, link, 
26,1,186.0756953,-83.73702148,Food to Refreezing Food = Bad,Shape, Food, Food, Refreezing Food = Bad, link, 
26,2,223.3075234,-102.5610801,Food to Refreezing Food = Bad,Shape, Food, Food, Refreezing Food = Bad, link, 
26,3,252.6574141,-118.8846855,Food to Refreezing Food = Bad,Shape, Food, Food, Refreezing Food = Bad, link, 
26,4,289.5367422,-138.4688691,Food to Refreezing Food = Bad,Shape, Food, Food, Refreezing Food = Bad, link, 
26,5,315.616,-151.284,Food to Refreezing Food = Bad,Shape, Food, Food, Refreezing Food = Bad, link, 
27,0,159.688,-71.587,Food to Can't refreeze raw meat,Shape, Food, Food, Can't refreeze raw meat, link, 
27,1,186.3149082,-83.20333398,Food to Can't refreeze raw meat,Shape, Food, Food, Can't refreeze raw meat, link, 
27,2,225.1391465,-98.47479883,Food to Can't refreeze raw meat,Shape, Food, Food, Can't refreeze raw meat, link, 
27,3,256.8527754,-109.5253105,Food to Can't refreeze raw meat,Shape, Food, Food, Can't refreeze raw meat, link, 
27,4,296.0103887,-124.0276504,Food to Can't refreeze raw meat,Shape, Food, Food, Can't refreeze raw meat, link, 
27,5,322.929,-134.971,Food to Can't refreeze raw meat,Shape, Food, Food, Can't refreeze raw meat, link, 
28,0,159.688,-71.587,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,1,173.8470957,-77.68540308,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,2,197.9420605,-86.65558618,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,3,217.843166,-92.32629077,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,4,235.2749434,-95.9007395,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,5,260.5650313,-99.96398242,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,6,289.9996191,-106.0787771,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,7,314.7993965,-113.300429,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
28,8,329.399,-118.306,Food to Oil stops pasta sticking,Shape, Food, Food, Oil stops pasta sticking, link, 
29,0,159.688,-71.587,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,1,166.9780874,-74.74966367,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,2,180.46352,-79.98490335,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,3,192.6603706,-83.91792697,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,4,203.7739282,-86.73021548,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,5,218.8621602,-89.24425952,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,6,237.1043086,-90.36756763,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,7,254.7084883,-90.27459253,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,8,273.3170117,-90.41718188,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,9,294.5721914,-92.24718335,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,10,313.2383979,-95.60042575,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,11,327.3649868,-99.11940762,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
29,12,335.01,-101.332,Food to Adding salt to water makes it boil more quickly,Shape, Food, Food, Adding salt to water makes it boil more quickly, link, 
30,0,159.688,-71.587,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,1,166.988313,-74.7124462,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,2,180.5522992,-79.66178171,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,3,192.8979477,-83.05324344,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,4,204.2218772,-85.09987387,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,5,214.7207063,-86.01471548,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,6,224.5910538,-86.01081076,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,7,238.6482751,-84.74833472,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,8,257.0266584,-81.83781763,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,9,276.4302507,-79.08707983,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,10,292.6019656,-78.15414859,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,11,304.522731,-78.46980246,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,12,317.5845827,-79.78409232,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,13,331.9841391,-82.31006064,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
30,14,339.747,-84.094,Food to The 5 Second Rule,Shape, Food, Food, The 5 Second Rule, link, 
31,0,174.872,6.703,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,1,182.8113216,6.872791351,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,2,197.2419573,6.392720001,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,3,209.96025,4.923188446,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,4,221.2282001,2.588290924,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,5,231.3078082,-0.487878326,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,6,240.4610747,-4.181225067,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
